"season;race_num;race_name;race_date;drive;car;team;team_group;rank;grid;laps;duration;retired;ptsl;points"
"1;8;2015 Berlin;23/05/2015;Salvador Durán;77;Amlin Aguri;Techeetah;16;16;33;44157;0;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Bruno Senna;21;Mahindra Racing;Mahindra;17;18;33;46257;0;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;18;20;33;527032;0;0,0,0;0"
"1;8;2015 Berlin;23/05/2015;Jarno Trulli;10;Trulli;Trulli;19;1;31;+2 laps;0;0,3,0;3"
"1;8;2015 Berlin;23/05/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;99;2;33;99:99.999;1;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO-NextEV;1;2;35;43:18.867;0;25,0,0;25"
"1;9;2015 Moscow;06/06/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;2;3;35;2012;0;18,0,0;18"
"1;9;2015 Moscow;06/06/2015;Nick Heidfeld;23;Venturi GP;Venturi;3;8;35;11548;0;15,0,0;15"
"1;9;2015 Moscow;06/06/2015;Jean-Éric Vergne;27;Andretti;BMW-Andretti;4;1;35;12416;0;12,3,0;15"
"1;9;2015 Moscow;06/06/2015;Daniel Abt;66;Audi Sport ABT;Audi;5;7;35;25626;0;10,0,0;10"
"1;9;2015 Moscow;06/06/2015;Salvador Durán;77;Amlin Aguri;Techeetah;6;10;35;28960;0;8,0,0;8"
"1;9;2015 Moscow;06/06/2015;António Félix da Costa;55;Amlin Aguri;Techeetah;7;14;35;30529;0;6,0,0;6"
"1;9;2015 Moscow;06/06/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;8;6;35;31556;0;4,0,0;4"
"1;9;2015 Moscow;06/06/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;9;4;35;400503;0;2,0,2;4"
"1;9;2015 Moscow;06/06/2015;Justin Wilson;28;Andretti Autosport;BMW-Andretti;10;12;35;46320;0;1,0,0;1"
"1;9;2015 Moscow;06/06/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;11;5;35;51474;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;12;16;35;52493;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Jaime Alguersuari;3;Virgin Racing;Virgin;13;17;35;55810;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Stéphane Sarrazin;30;Venturi GP;Venturi;14;20;35;56715;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Loïc Duval;6;Dragon Racing;Dragon;15;18;35;+1:18.7634;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Bruno Senna;21;Mahindra Racing;Mahindra;16;15;34;+1 lap;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Vitantonio Liuzzi;18;Trulli GP;Trulli;17;19;34;+1 lap;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Jarno Trulli;10;Trulli GP;Trulli;18;9;32;+3 laps;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Antonio Garcia;88;NEXTEV TCR;NIO-NextEV;19;13;32;+3 laps;0;0,0,0;0"
"1;9;2015 Moscow;06/06/2015;Sam Bird;2;Virgin Racing;Virgin;99;11;24;99:99.999;1;0,0,0;0"
"1;10;2015 London;27/06/2015;Sébastien Buemi;9;e.dams-Renault;Nissan-Renault;1;1;29;47:54.784;0;25,3,0;28"
"1;10;2015 London;27/06/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;2;2;29;+0.939;0;18,0,0;18"
"1;10;2015 London;27/06/2015;Jean-Éric Vergne;27;Andretti Autosport;BMW-Andretti;3;5;29;1667;0;15,0,0;15"
"1;10;2015 London;27/06/2015;Lucas di Grassi;11;Audi Sport ABT;Audi;4;3;29;2409;0;12,0,2;14"
"1;10;2015 London;27/06/2015;Nelson Piquet Jr.;99;NEXTEV TCR;NIO-NextEV;5;4;29;7370;0;10,0,0;10"
"1;10;2015 London;27/06/2015;Sam Bird;2;Virgin Racing;Virgin;6;9;29;7762;0;8,0,0;8"
"1;10;2015 London;27/06/2015;Nico Prost;8;e.dams-Renault;Nissan-Renault;7;6;29;8553;0;6,0,0;6"
"1;10;2015 London;27/06/2015;Loïc Duval;6;Dragon Racing;Dragon;8;11;29;9507;0;4,0,0;4"
"1;10;2015 London;27/06/2015;Oliver Turvey;88;NEXTEV TCR;NIO-NextEV;9;7;29;10032;0;2,0,0;2"
"1;10;2015 London;27/06/2015;Stéphane Sarrazin;30;Venturi Grand Prix;Venturi;10;14;29;12077;0;1,0,0;1"
"1;10;2015 London;27/06/2015;Simona de Silvestro;28;Andretti Autosport;BMW-Andretti;11;17;29;15946;0;0,0,0;0"
"1;10;2015 London;27/06/2015;Karun Chandhok;5;Mahindra Racing;Mahindra;12;16;29;35595;0;0,0,0;0"
"1;10;2015 London;27/06/2015;Nick Heidfeld;23;Venturi Grand Prix;Venturi;13;12;29;41034;0;0,0,0;0"
"1;10;2015 London;27/06/2015;Fabio Leimer;3;Virgin Racing;Virgin;14;20;29;42697;0;0,0,0;0"
"1;10;2015 London;27/06/2015;Jarno Trulli;10;Trulli GP;Trulli;15;15;29;43273;0;0,0,0;0"
"1;10;2015 London;27/06/2015;Bruno Senna;21;Mahindra Racing;Mahindra;16;8;29;48423;0;0,0,0;0"
"1;10;2015 London;27/06/2015;Salvador Durán;77;Amlin Aguri;Techeetah;17;10;29;+1:01.9871;0;0,0,0;0"
"1;10;2015 London;27/06/2015;Alex Fontana;18;Trulli GP;Trulli;99;19;25;99:99.999;1;0,0,0;0"
"1;10;2015 London;27/06/2015;Daniel Abt;66;Audi Sport ABT;Audi;99;13;15;99:99.999;1;0,0,0;0"
"1;10;2015 London;27/06/2015;Sakon Yamamoto;55;Amlin Aguri;Techeetah;99;18;15;99:99.999;1;0,0,0;0"
"1;11;2015 London race 2;28/06/2015;Sam Bird;2;Virgin Racing;Virgin;1;4;29;45:48.792;0;25,0,2;27"
"1;11;2015 London race 2;28/06/2015;Jérôme d'Ambrosio;7;Dragon Racing;Dragon;2;2;29;6973;0;18,0,0;18"
"1;11;2015 London race 2;28/06/2015;Loïc Duval;6;Dragon Racing;Dragon;3;3;29;9430;0;15,0,0;15"
